"","Quarter_Year","admin_type","top_ofnse_typ_desc","Count"
"337",2014 Q3,"Technical Commitment","MURDER",50.08
"338",2014 Q3,"Technical Commitment","OTHER",15.79
"339",2014 Q3,"Technical Commitment","PERSON",137.96
"340",2014 Q3,"Technical Commitment","PROPERTY",190.87
"341",2014 Q3,"Technical Commitment","SEX OFFENSE",201.92
"342",2014 Q3,"Technical Commitment","WEAPONS",10.05
"343",2014 Q4,"New Commitment","ALCOHOL & DRUG",523.05
"344",2014 Q4,"New Commitment","DRIVING",226.86
"345",2014 Q4,"New Commitment","DRUG POSSESSION ONLY",282.32
"346",2014 Q4,"New Commitment","MURDER",681.29
"347",2014 Q4,"New Commitment","OTHER",94.79
"348",2014 Q4,"New Commitment","PERSON",1135.31
"349",2014 Q4,"New Commitment","PROPERTY",1230.75
"350",2014 Q4,"New Commitment","SEX OFFENSE",2025.63
"351",2014 Q4,"New Commitment","WEAPONS",75.84
"352",2014 Q4,"Technical Commitment","ALCOHOL & DRUG",56.03
"353",2014 Q4,"Technical Commitment","DRIVING",45.55
"354",2014 Q4,"Technical Commitment","DRUG POSSESSION ONLY",46.05
"355",2014 Q4,"Technical Commitment","MURDER",51.75
"356",2014 Q4,"Technical Commitment","OTHER",17.35
"357",2014 Q4,"Technical Commitment","PERSON",135.5
"358",2014 Q4,"Technical Commitment","PROPERTY",170.54
"359",2014 Q4,"Technical Commitment","SEX OFFENSE",199.64
"360",2014 Q4,"Technical Commitment","WEAPONS",11.98
"361",2015 Q1,"New Commitment","ALCOHOL & DRUG",502.92
"362",2015 Q1,"New Commitment","DRIVING",215.07
"363",2015 Q1,"New Commitment","DRUG POSSESSION ONLY",253.17
"364",2015 Q1,"New Commitment","MURDER",686.17
"365",2015 Q1,"New Commitment","OTHER",100.12
"366",2015 Q1,"New Commitment","PERSON",1118.96
"367",2015 Q1,"New Commitment","PROPERTY",1202.89
"368",2015 Q1,"New Commitment","SEX OFFENSE",2025.84
"369",2015 Q1,"New Commitment","WEAPONS",68.05
"370",2015 Q1,"Technical Commitment","ALCOHOL & DRUG",62.07
"371",2015 Q1,"Technical Commitment","DRIVING",32.7
"372",2015 Q1,"Technical Commitment","DRUG POSSESSION ONLY",48.2
"373",2015 Q1,"Technical Commitment","MURDER",49.21
"374",2015 Q1,"Technical Commitment","OTHER",17.07
"375",2015 Q1,"Technical Commitment","PERSON",125.04
"376",2015 Q1,"Technical Commitment","PROPERTY",159.49
"377",2015 Q1,"Technical Commitment","SEX OFFENSE",188.75
"378",2015 Q1,"Technical Commitment","WEAPONS",9.94
"379",2015 Q2,"New Commitment","ALCOHOL & DRUG",503.22
"380",2015 Q2,"New Commitment","DRIVING",192.59
"381",2015 Q2,"New Commitment","DRUG POSSESSION ONLY",234.63
"382",2015 Q2,"New Commitment","MURDER",697.84
"383",2015 Q2,"New Commitment","OTHER",103.82
"384",2015 Q2,"New Commitment","PERSON",1106.84
"385",2015 Q2,"New Commitment","PROPERTY",1171.77
"386",2015 Q2,"New Commitment","SEX OFFENSE",2020.7
"387",2015 Q2,"New Commitment","WEAPONS",65.5
"388",2015 Q2,"Technical Commitment","ALCOHOL & DRUG",59.42
"389",2015 Q2,"Technical Commitment","DRIVING",32.58
"390",2015 Q2,"Technical Commitment","DRUG POSSESSION ONLY",45.98
"391",2015 Q2,"Technical Commitment","MURDER",48.19
"392",2015 Q2,"Technical Commitment","OTHER",14.64
"393",2015 Q2,"Technical Commitment","PERSON",125.73
"394",2015 Q2,"Technical Commitment","PROPERTY",157.07
"395",2015 Q2,"Technical Commitment","SEX OFFENSE",190.74
"396",2015 Q2,"Technical Commitment","WEAPONS",7.49
"397",2015 Q3,"New Commitment","ALCOHOL & DRUG",492.49
"398",2015 Q3,"New Commitment","DRIVING",176.93
"399",2015 Q3,"New Commitment","DRUG POSSESSION ONLY",227.29
"400",2015 Q3,"New Commitment","MURDER",706.15
"401",2015 Q3,"New Commitment","OTHER",99.83
"402",2015 Q3,"New Commitment","PERSON",1100.27
"403",2015 Q3,"New Commitment","PROPERTY",1130.13
"404",2015 Q3,"New Commitment","SEX OFFENSE",2000.91
"405",2015 Q3,"New Commitment","WEAPONS",64.07
"406",2015 Q3,"Technical Commitment","ALCOHOL & DRUG",66.1
"407",2015 Q3,"Technical Commitment","DRIVING",33.03
"408",2015 Q3,"Technical Commitment","DRUG POSSESSION ONLY",46.08
"409",2015 Q3,"Technical Commitment","MURDER",49.47
"410",2015 Q3,"Technical Commitment","OTHER",17.28
"411",2015 Q3,"Technical Commitment","PERSON",143.64
"412",2015 Q3,"Technical Commitment","PROPERTY",160
"413",2015 Q3,"Technical Commitment","SEX OFFENSE",198
"414",2015 Q3,"Technical Commitment","WEAPONS",8.87
"415",2015 Q4,"New Commitment","ALCOHOL & DRUG",462.58
"416",2015 Q4,"New Commitment","DRIVING",167.94
